title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Naked Gun 33 1/3: The Final Insult",movie,"Comedy, Crime",1994,tt0110622,6.5,113939,"AT, CH, DE, FR, GB, IE, IT"
"Prom Night",movie,"Horror, Mystery, Thriller",1980,tt0081383,5.3,21989,US
"The Wind in the Willows",movie,"Adventure, Comedy, Drama",2006,tt0825347,6.4,867,NO
"The Sum of Us",movie,"Comedy, Drama",1994,tt0111309,7.3,5917,CA
"X-Men: The Last Stand",movie,"Action, Adventure, Sci-Fi",2006,tt0376994,6.6,552814,US
"Coming Out",movie,"Drama, Romance",1989,tt0097095,7,1890,DE
Solarbabies,movie,"Action, Adventure, Drama",1986,tt0091981,4.7,5096,US
"Lady Kung Fu",movie,"Action, Drama",1972,tt0068676,6.8,1065,GB
"The Tomb",movie,"Horror, Thriller",2009,tt1038011,3.7,1834,US
"The Drawn Together Movie!",movie,"Animation, Comedy, Mystery",2010,tt1546036,6.1,4679,AU
Spellbinder,movie,"Drama, Horror, Romance",1988,tt0096152,5.8,2974,US
"Lake of the Dead",movie,"Horror, Mystery, Thriller",1958,tt0051569,6.8,2719,"CA, US"
"Cemetery Junction",movie,"Comedy, Drama",2010,tt1196204,6.8,24323,AU
"The Loveless",movie,Drama,1981,tt0085872,6,3094,GB
"Bye Bye Birdie",movie,"Comedy, Drama, Musical",1995,tt0112605,5.9,968,US
"The Blood of a Poet",movie,Fantasy,1932,tt0021331,7.3,7559,DE
"Testament of Orpheus",movie,"Biography, Fantasy",1960,tt0054377,7.2,3849,DE
"Midnight Movies: From the Margin to the Mainstream",movie,Documentary,2005,tt0457414,7.3,1660,US
